,季節,季語,読み仮名,傍題
179,春,桜,さくら,彼岸桜・枝垂桜・糸桜・大山桜・大島桜・富士桜・豆桜・霞桜・嶺桜・深山桜・丁子桜・牡丹桜・里桜・染井吉野・朝桜・夕桜・夜桜・若桜・老桜
180,春,桜鰄,さくらうぐい,右斑魚・花うぐひ
181,春,桜貝,さくらがい,花貝・紅貝
182,春,桜蘂降る,さくらしべふる,
183,春,桜草,さくらそう,プリムラ
184,春,桜鯛,さくらだい,花見鯛・乗込鯛・鯛網
185,春,桜漬,さくらづけ,花漬・桜湯
186,春,桜餅,さくらもち,
187,春,栄螺,さざえ,つぶ・挙螺
188,春,挿木,さしき,挿葉・挿芽・挿穂・挿床
189,春,実朝忌,さねともき,
190,春,さより,さより,竹魚・針魚
191,春,鰆,さわら,
192,春,三月,さんがつ,
193,春,三月十日,さんがつとおか,
194,春,三月菜,さんがつな,
195,春,三鬼忌,さんきき,西東忌
196,春,山帰来の花,さんきらいのはな,さるとりいばらの花
197,春,山楂子の花,さんざしのはな,
198,春,山茱萸の花,さんしゅうのはな,春黄金花・さんしゅう・さんしゅうの花
199,春,山椒の芽,さんしょうのめ,芽山椒・きのめ
200,春,座禅草,ざぜんそう,達磨草
201,春,残花,ざんか,残る花・名残の花
202,春,残雪,ざんせつ,雪残る・残る雪・日影雪
203,春,汐干狩,しおひがり,汐干・汐干潟・汐干貝・汐干籠・汐干船
204,春,望潮,しおまねき,潮招
205,春,四月,しがつ,
206,春,四月馬鹿,しがつばか,エイプリルフール・万愚節
207,春,樒の花,しきみのはな,花樒・かうしばの花・樒売
208,春,シクラメン,しくらめん,篝火花
209,春,蜆,しじみ,蜆貝・真蜆・紫蜆・蜆取・蜆舟・蜆掻・蜆売
210,春,蜆汁,しじみじる,
211,春,下萌,したもえ,草萌・草青む・畦青む・土手青む・若返る草・駒返る草
212,春,枝垂桜,しだれざくら,糸桜
213,春,しどみの花,しどみのはな,草木瓜
214,春,芝桜,しばざくら,
215,春,芝桜,しばざくら,花詰草
216,春,芝焼く,しばやく,芝焼・芝火
217,春,霜くすべ,しもくすべ,
218,春,謝肉祭,しゃにくさい,カーニバル・カルナバル
219,春,石鹸玉,しゃぼんだま,
220,春,修二会,しゅにえ,二月堂の行・お松明
221,春,春陰,しゅんいん,
222,春,春菊,しゅんぎく,しゅん蒿・高麗菊・菊菜
223,春,春暁,しゅんぎょう,春の暁・春の曙・春の朝
224,春,春月,しゅんげつ,
225,春,春光,しゅんこう,春の光・春色・春の色・春望
226,春,春社,しゅんしゃ,社日・社日様・社日参・社翁の雨
227,春,春愁,しゅんしゅう,春愁・春愁ふ・春かなし・春思
228,春,春塵,しゅんじん,春の塵・春埃
229,春,春昼,しゅんちゅう,春の昼
230,春,春潮,しゅんちょう,春の潮
231,春,春泥,しゅんでい,春の泥
232,春,春闘,しゅんとう,春季闘争
233,春,春分,しゅんぶん,中日（ちゅうにち）
234,春,春分の日,しゅんぶんのひ,
235,春,春風,しゅんぷう,春の風・春風
236,春,春服,しゅんぷく,春の服・春装
237,春,春眠,しゅんみん,春睡・春の眠り・春眠し
238,春,春雷,しゅんらい,春の雷・初雷・虫出しの雷・虫出し
239,春,春蘭,しゅんらん,ほくろ
240,春,聖霊会,しょうりょうえ,貝の華
241,春,松露,しょうろ,
242,春,昭和の日,しょうわのひ,
243,春,植樹祭,しょくじゅさい,
244,春,白魚,しらうお,しらを・白魚網・白魚舟・白魚漁・白魚汲む・白魚火
245,春,白樺の花,しらかばのはな,樺の花・花かんば
246,春,白子干,しらすぼし,白子・ちりめんじゃこ・ちりめん
247,春,白酒,しろざけ,
248,春,蜃気楼,しんきろう,海市・山市・蜃楼・蜃市・喜見城・かいやぐら・きつねだな
249,春,地虫穴を出づ,じむしあなをいづ,地虫出づ・蟻穴を出づ・蜥蜴出づ
250,春,十三詣,じゅうさんまいり,知恵詣・知恵貰ひ
251,春,受験,じゅけん,受験生・受験期・試験・入学試験・卒業試験・及第・落第・大試験
252,春,受難節,じゅなんせつ,受苦節・受難週
253,春,常楽会,じょうらくえ,
254,春,沈丁花,じんちょうげ,沈丁・丁字・瑞香・芸香
255,春,酸葉,すいば,すかんぽ・酸模（すいば）・すいすい
256,春,杉菜,すぎな,接ぎ松
257,春,杉の花,すぎのはな,
258,春,末黒の芒,すぐろのすすき,焼野の芒・黒生の芒
259,春,鈴懸の花,すずかけのはな,プラタナスの花
260,春,雀の子,すずめのこ,子雀・親雀・黄雀
261,春,雀の巣,すずめのす,
262,春,スターリン忌,すたーりんき,
263,春,巣立鳥,すだちどり,巣立
264,春,巣箱,すばこ,
265,春,菫,すみれ,菫草・花菫・香菫・相撲取草・相撲花・一夜草・一葉草・壷菫・三色菫・パンジー
266,春,李の花,すもものはな,花李
267,春,聖金曜日,せいきんようび,聖金曜・受難日
268,春,誓子忌,せいしき,
269,春,製茶,せいちゃ,茶づくり・茶揉み・焙炉・焙炉場・焙炉師
270,春,清明,せいめい,
271,春,釈奠,せきてん,おきまつり・孔子祭・聖廟忌・釈菜
272,春,芹,せり,根白草・根芹・田芹・芹摘む
273,春,剪定,せんてい,
274,春,先帝祭,せんていさい,先帝会
275,春,薇,ぜんまい,狗背・紫蕨・おに蕨・いぬ蕨
276,春,早春,そうしゅん,初春・春の初め
277,春,卒業,そつぎょう,卒業生・卒業式・卒業期・卒業証書・卒業歌
278,春,蚕豆の花,そらまめのはな,
279,春,田打,たうち,春田打・田を打つ・田を返す・田を鋤く
280,春,鷹鳩と化す,たかはととかす,鷹化して鳩と為る（たかかしてはととなる）
281,春,高山祭,たかやままつり,高山春祭・山王祭
282,春,耕,たがやし,耕す・春耕・耕人・耕馬・耕牛・馬耕・耕耘機
283,春,多喜二忌,たきじき,多喜二の忌
284,春,啄木忌,たくぼくき,
285,春,竹の秋,たけのあき,竹秋
286,春,凧,たこ,紙鳶・いかのぼり・宇凧・絵凧・奴凧・切凧・懸凧・はた
287,春,立子忌,たつこき,
288,春,達治忌,たつじき,
289,春,田螺,たにし,田螺鳴く・田螺取
290,春,種芋,たねいも,芋種・種薯・芋の芽
291,春,種選,たねえらび,種選り
292,春,種浸し,たねひたし,種かし・種ふて・種つける・種ふせる・籾つける・種井・種俵・種池
293,春,種蒔,たねまき,種下し・播種・籾蒔く
294,春,種物,たねもの,物種・花種・種物屋・種売・種袋
295,春,たらの芽,たらのめ,たらめ・多羅の芽
296,春,蒲公英,たんぽぽ,鼓草・藤菜・蒲公英の絮
297,春,大根の花,だいこんのはな,花大根（だいこ）・種大根
298,春,暖炉納む,だんろおさむ,暖炉外す・ストーブ除く
299,春,萵苣,ちさ,ちしや・かきぢしや・レタス
300,春,遅春,ちしゅん,春遅し・春遅々
301,春,遅日,ちじつ,遅き日・暮遅し・暮かぬる・夕永し
302,春,父子草,ちちこぐさ,
303,春,茶摘,ちゃつみ,一番茶・茶摘時・茶摘女・茶摘唄・茶摘籠・茶摘笠・茶山・茶畑・茶園
304,春,仲春,ちゅうしゅん,春なかば
305,春,チューリップ,ちゅーりっぷ,鬱金香・牡丹百合
306,春,蝶,ちょう,蝶々・胡蝶・初蝶・白蝶・黄蝶・紋白蝶・烏蝶・蝶生る・てふてふ
307,春,接木,つぎき,接穂・砧木・接木苗・芽接・根接
308,春,土筆,つくし,つくづくし・つくしんぼ・筆の花・土筆野・土筆摘む
309,春,黄楊の花,つげのはな,
310,春,蔦の芽,つたのめ,
311,春,蔦若葉,つたわかば,
312,春,躑躅,つつじ,山躑躅・蓮華躑躅・霧島
313,春,角叉,つのまた,
314,春,椿,つばき,山椿・藪椿・白椿・紅椿・乙女椿・八重椿・玉椿・つらつら椿・花椿・散る椿・落椿・五百椿
315,春,椿餅,つばきもち,
316,春,茅花,つばな,白茅の花
317,春,燕,つばめ,乙鳥・玄鳥・つばくら・つばくろ・つばくらめ・飛燕・燕来る・初燕・朝燕・夕燕・里燕
318,春,燕の巣,つばめのす,巣燕
319,春,壷焼,つぼやき,焼栄螺
320,春,摘草,つみくさ,草摘む
321,春,田楽,でんがく,木の芽田楽・田楽豆腐・田楽焼・田楽刺
322,春,東京大空襲忌,とうきょうだいきゅうしゅうき,
323,春,踏青,とうせい,青き踏む
324,春,土佐水木,とさみずき,蝋弁花
325,春,友二忌,ともじき,
326,春,鶏合,とりあわせ,闘鶏・鶏の蹴合・勝鶏・負鶏
327,春,鳥帰る,とりかえる,小鳥帰る・鳥引く・引鳥
328,春,鳥貝,とりがい,
329,春,鳥雲に入る,とりくもにいる,鳥雲に
330,春,鳥曇,とりぐもり,鳥曇・鳥風
331,春,鳥交る,とりさかる,鳥つるむ・孕鳥・鳥の恋
332,春,鳥の巣,とりのす,小鳥の巣・巣組み・巣籠・巣隠・巣鳥・古巣
333,春,満天星の花,どうだんのはな,満天星躑躅
334,春,どんたく,どんたく,松囃子・どんたく囃子
335,春,苗木市,なえぎいち,植木市
336,春,苗木植う,なえぎうう,植林
337,春,苗床,なえどこ,種床・播床・温床・苗障子
338,春,苗札,なえふだ,
339,春,梨の花,なしのはな,花梨
340,春,薺の花,なずなのはな,花薺・三味線草・ぺんぺん草
341,春,菜種梅雨,なたねづゆ,
342,春,雪崩,なだれ,雪なだれ
343,春,夏近し,なつちかし,夏隣る・夏隣る・五月近し
344,春,夏蜜柑,なつみかん,
345,春,菜の花,なのはな,花菜・菜種の花・油菜・菜種菜・花菜雨・花菜風
346,春,菜飯,なめし,
347,春,苗代,なわしろ,苗田・苗代田・種案山子・苗代時・苗代寒
348,春,二月,にがつ,二月尽
349,春,二月礼者,にがつれいじゃ,
350,春,逃げ水,にげみず,逃水
351,春,鰊,にしん,鯡・春告魚・鰊群来・鰊漁・鰊舟・鰊曇
352,春,蜷,にな,みな・河貝子・海蜷・河蜷・蜷の道
353,春,入学,にゅうがく,入学式・入学児・新入生・一年生・入園・進学
354,春,韮,にら,ふたもじ
355,春,接骨木の花,にわとこのはな,たづの花
356,春,蒜,にんにく,葫・ひる・大蒜
357,春,蓴生ふ,ぬなはおう,蓴菜生ふ
358,春,葱坊主,ねぎぼうず,葱の花・葱の擬宝
